ObjectID,SourceName,API10,NewData,Latitude,Longitude,CountyName,MinD_ft,MaxD_ft,MinD_TVDSS,MaxD_TVDSS,SubsurfaceUnit,TOC,TMAX_C,S1,S2,S3,PI,HI,OI,S1+S2,S2/S3,S1/TOC,RoMean,DOMGroup,Lab,Type
1937,UL_4200344948,42003449480,N,32.26,-102.41,ANDREWS,7575.0,7575.0,-4500.0,-4500.0,Clear Fork,2.51,435,2.15,11.66,1.84,0.16,465.0,73.0,13.81,6.3,85.66,,,Weatherford Laboratories,core
1938,UL_4200344948,42003449480,N,32.26,-102.41,ANDREWS,7689.0,7689.0,-4614.0,-4614.0,Clear Fork,5.76,438,4.7,29.36,0.96,0.14,510.0,17.0,34.06,30.6,81.6,,,Weatherford Laboratories,core
1939,UL_4200344948,42003449480,N,32.26,-102.41,ANDREWS,7783.0,7783.0,-4708.0,-4708.0,Clear Fork,4.38,440,3.79,12.49,1.53,0.23,285.0,35.0,16.28,8.2,86.53,,,Weatherford Laboratories,core
1940,UL_4200344948,42003449480,N,32.26,-102.41,ANDREWS,8185.0,8185.0,-5110.0,-5110.0,Tubb,2.76,436,2.39,6.8,1.19,0.26,246.0,43.0,9.19,5.7,86.59,,,Weatherford Laboratories,core
1941,UL_4200344948,42003449480,N,32.26,-102.41,ANDREWS,8563.0,8563.0,-5488.0,-5488.0,Spraberry,2.56,442,2.94,5.19,1.62,0.36,203.0,63.0,8.13,3.2,114.84,,,Weatherford Laboratories,core
1942,UL_4200344948,42003449480,N,32.26,-102.41,ANDREWS,8719.0,8719.0,-5644.0,-5644.0,Spraberry,0.76,438,0.32,0.66,0.71,0.33,87.0,94.0,0.98,0.9,42.11,,,Weatherford Laboratories,core
1943,UL_4200344948,42003449480,N,32.26,-102.41,ANDREWS,8836.0,8836.0,-5761.0,-5761.0,Spraberry,0.69,438,0.33,0.45,1.65,0.42,65.0,238.0,0.78,0.3,47.83,,,Weatherford Laboratories,core
1944,UL_4200344948,42003449480,N,32.26,-102.41,ANDREWS,9230.0,9230.0,-6155.0,-6155.0,Spraberry,2.98,440,4.9,7.12,1.21,0.41,239.0,41.0,12.02,5.9,164.43,,,Weatherford Laboratories,core
1945,UL_4200344948,42003449480,N,32.26,-102.41,ANDREWS,9324.0,9324.0,-6249.0,-6249.0,Spraberry,4.91,442,4.53,9.25,1.07,0.33,188.0,22.0,13.78,8.6,92.26,,,Weatherford Laboratories,core
1946,UL_4200344948,42003449480,Y,32.26,-102.41,ANDREWS,9479.0,9479.0,-6404.0,-6404.0,Wolfcamp A (L2),2.65,449,1.92,4.15,0.95,0.32,157.0,36.0,6.07,4.4,72.45,,,Weatherford Laboratories,core
1947,UL_4200344948,42003449480,Y,32.26,-102.41,ANDREWS,9710.0,9710.0,-6635.0,-6635.0,Wolfcamp B (W3),0.47,443,0.41,0.42,0.85,0.5,90.0,182.0,0.83,0.5,87.23,,,Weatherford Laboratories,core
1948,UL_4200344948,42003449480,Y,32.26,-102.41,ANDREWS,9746.0,9746.0,-6671.0,-6671.0,Wolfcamp B (W3),4.0,443,2.28,9.39,0.98,0.2,235.0,24.0,11.67,9.6,57.0,,,Weatherford Laboratories,core
